"","player"
"1","Alexandre Lacazette"
"20","Ashley Barnes"
"39","Callum Wilson"
"58","Chris Wood"
"77","Danny Ings"
"96","Diogo Jota"
"115","Dominic Calvert-Lewin"
"134","Gerard Deulofeu"
"153","Glenn Murray"
"172","Harry Kane"
"191","Jamie Vardy"
"210","Joshua King"
"229","Marcus Rashford"
"248","Pierre-Emerick Aubameyang"
"267","Raúl Jiménez"
"286","Roberto Firmino"
"306","Sergio Agüero"
"325","Troy Deeney"
"344","Joelinton"
"363","Jordan Ayew"
"382","Lys Mousset"
"401","Neal Maupay"
"420","Sébastien Haller"
"440","Tammy Abraham"
"459","Teemu Pukki"
"478","Wesley"
